Time Stamp          EXEC TI BUSFR BUSHR BUSDH BUSSD IDLFR IDLHR IDLSD BLTSL GPRST BUDTF BUDTH IDDTH DAPSI BUSDF BUDF8
2017-11-23 02:49:15   0.749 00000 00000 00000 00000 00328 00000 00164 00128 00287 00000 00000 00000 00000 00000 00000
2017-11-23 02:49:30   0.753 00000 00000 00000 00000 00328 00000 00164 00128 00287 00000 00000 00000 00000 00000 00000
2017-11-23 02:49:45   0.757 00000 00000 00000 00000 00328 00000 00164 00128 00287 00000 00000 00000 00000 00000 00000
2017-11-23 02:50:00   0.761 00000 00000 00000 00000 00320 00000 00160 00144 00280 00000 00000 00000 00000 00000 00000
2017-11-23 02:50:15   0.765 00000 00000 00000 00000 00320 00000 00160 00128 00280 00000 00000 00000 00000 00000 00000
2017-11-23 02:50:30   0.769 00000 00000 00000 00000 00320 00000 00160 00128 00280 00000 00000 00000 00000 00000 00000
2017-11-23 02:50:45   0.774 00000 00000 00000 00000 00320 00000 00160 00128 00280 00000 00000 00000 00000 00000 00000
2017-11-23 02:51:00   0.778 00000 00000 00000 00000 00312 00000 00156 00144 00273 00000 00000 00000 00000 00000 00000
2017-11-23 02:51:15   0.782 00000 00000 00000 00000 00312 00000 00156 00128 00273 00000 00000 00000 00000 00000 00000
2017-11-23 02:51:30   0.786 00000 00000 00000 00000 00312 00000 00156 00128 00273 00000 00000 00000 00000 00000 00000
2017-11-23 02:51:45   0.790 00000 00000 00000 00000 00312 00000 00156 00128 00273 00000 00000 00000 00000 00000 00000
2017-11-23 02:52:00   0.794 00000 00000 00000 00000 00312 00000 00152 00136 00266 00000 00000 00000 00000 00000 00000
2017-11-23 02:52:15   0.799 00000 00000 00000 00000 00304 00000 00152 00128 00266 00000 00000 00000 00000 00000 00000
2017-11-23 02:52:30   0.803 00000 00000 00000 00000 00304 00000 00152 00128 00266 00000 00000 00000 00000 00000 00000
2017-11-23 02:52:45   0.807 00000 00000 00000 00000 00304 00000 00152 00128 00266 00000 00000 00000 00000 00000 00000
2017-11-23 02:53:00   0.811 00000 00000 00000 00000 00304 00000 00152 00128 00266 00000 00000 00000 00000 00000 00000
2017-11-23 02:53:15   0.815 00000 00000 00000 00000 00296 00000 00148 00144 00259 00000 00000 00000 00000 00000 00000
2017-11-23 02:53:30   0.819 00000 00000 00000 00000 00296 00000 00148 00128 00259 00000 00000 00000 00000 00000 00000
2017-11-23 02:53:45   0.824 00000 00000 00000 00000 00296 00000 00148 00128 00259 00000 00000 00000 00000 00000 00000
2017-11-23 02:54:00   0.828 00000 00000 00000 00000 00296 00000 00148 00128 00259 00000 00000 00000 00000 00000 00000
2017-11-23 02:54:15   0.832 00000 00000 00000 00000 00288 00000 00144 00144 00252 00000 00000 00000 00000 00000 00000
2017-11-23 02:54:30   0.836 00000 00000 00000 00000 00288 00000 00144 00128 00252 00000 00000 00000 00000 00000 00000
2017-11-23 02:54:45   0.840 00000 00000 00000 00000 00288 00000 00144 00128 00252 00000 00000 00000 00000 00000 00000
2017-11-23 02:55:00   0.844 00000 00000 00000 00000 00288 00000 00144 00128 00252 00000 00000 00000 00000 00000 00000
2017-11-23 02:55:15   0.849 00000 00000 00000 00000 00280 00000 00140 00144 00245 00000 00000 00000 00000 00000 00000
2017-11-23 02:55:30   0.853 00000 00000 00000 00000 00280 00000 00140 00128 00245 00000 00000 00000 00000 00000 00000
2017-11-23 02:55:45   0.857 00000 00000 00000 00000 00280 00000 00140 00128 00245 00000 00000 00000 00000 00000 00000
2017-11-23 02:56:00   0.861 00000 00000 00000 00000 00280 00000 00140 00128 00245 00000 00000 00000 00000 00000 00000
2017-11-23 02:56:15   0.865 00000 00000 00000 00000 00280 00000 00140 00128 00245 00000 00000 00000 00000 00000 00000
2017-11-23 02:56:30   0.869 00000 00000 00000 00000 00272 00000 00136 00144 00238 00000 00000 00000 00000 00000 00000
